zone_id,zone_name,case_key,season,rear_bearing_true_deg,baseline_mean_h,likely_mean_h,conservative_mean_h,baseline_minus_conservative_mean_h,baseline_minus_conservative_median_h,baseline_minus_conservative_p10_h,baseline_minus_conservative_p90_h,materiality_threshold_h,materially_sensitive
1,ZONE_1,WINTER_B330,WINTER,330.0,3.1424044056525355,2.2977763923524517,1.743988985868662,1.3984154197838736,1.7624999999999995,0.0,2.1499999999999995,0.5,True
2,ZONE_2,WINTER_B330,WINTER,330.0,5.101128472222222,3.701388888888888,2.5149305555555563,2.586197916666666,2.6499999999999995,2.6499999999999995,2.4624999999999995,0.5,True
3,ZONE_3,WINTER_B330,WINTER,330.0,1.6185567010309279,1.3731958762886596,1.2487113402061856,0.3698453608247423,0.1625000000000001,0.0,0.8999999999999999,0.5,True
4,ZONE_4,WINTER_B330,WINTER,330.0,0.01216376582278481,0.009731012658227848,0.0,0.01216376582278481,0.0,0.0,0.0,0.5,False
5,ZONE_5,WINTER_B330,WINTER,330.0,1.7276785714285714,1.5026785714285713,1.4035714285714285,0.3241071428571429,0.2749999999999999,0.2875000000000001,0.2749999999999999,0.5,False
6,ZONE_6,WINTER_B330,WINTER,330.0,5.248475609756097,3.98580487804878,3.0504512195121958,2.1980243902439014,2.1875,2.5249999999999995,2.1624999999999996,0.5,True
7,ZONE_7,WINTER_B330,WINTER,330.0,2.114705882352941,1.7902352941176471,1.490470588235294,0.6242352941176472,0.55,0.0,1.3250000000000002,0.5,True
1,ZONE_1,WINTER_B335,WINTER,335.0,3.14214463840399,2.337094763092269,1.8595750207813802,1.28256961762261,1.6624999999999996,0.0,1.9624999999999995,0.5,True
2,ZONE_2,WINTER_B335,WINTER,335.0,4.851996527777778,3.4116319444444434,2.474131944444445,2.3778645833333325,2.3999999999999995,2.5874999999999995,2.2124999999999995,0.5,True
3,ZONE_3,WINTER_B335,WINTER,335.0,1.9085051546391754,1.630798969072165,1.484375,0.42413015463917536,0.38749999999999996,0.0,0.9624999999999999,0.5,True
4,ZONE_4,WINTER_B335,WINTER,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,False
5,ZONE_5,WINTER_B335,WINTER,335.0,2.236607142857143,1.936607142857143,1.7995535714285713,0.4370535714285715,0.4125000000000001,0.4125000000000001,0.4125000000000001,0.5,False
6,ZONE_6,WINTER_B335,WINTER,335.0,5.147012195121952,3.9241463414634143,3.133317073170732,2.0136951219512196,1.8374999999999995,2.3999999999999995,1.8374999999999995,0.5,True
7,ZONE_7,WINTER_B335,WINTER,335.0,2.3858823529411763,2.0432941176470587,1.7180294117647057,0.6678529411764706,0.6875000000000004,0.0,1.3250000000000002,0.5,True
1,ZONE_1,SPRING_B325,SPRING,325.0,6.557538445552785,6.556338320864505,5.835406275976725,0.7221321695760601,0.8250000000000002,0.5249999999999999,0.8249999999999993,0.5,True
2,ZONE_2,SPRING_B325,SPRING,325.0,6.852430555555555,6.852430555555555,6.027430555555554,0.8250000000000011,0.8250000000000011,0.8250000000000011,0.8250000000000011,0.5,True
3,ZONE_3,SPRING_B325,SPRING,325.0,4.011920103092783,3.9832474226804124,3.928350515463918,0.08356958762886535,0.037499999999999645,0.0,0.07500000000000018,0.5,False
4,ZONE_4,SPRING_B325,SPRING,325.0,2.0723892405063293,2.0723892405063293,1.7160205696202528,0.3563686708860765,0.3999999999999999,0.0,0.8250000000000011,0.5,True
5,ZONE_5,SPRING_B325,SPRING,325.0,4.239955357142857,4.185714285714286,4.118080357142857,0.12187500000000018,0.13750000000000018,0.07500000000000018,0.07500000000000018,0.5,False
6,ZONE_6,SPRING_B325,SPRING,325.0,6.259756097560976,6.259756097560976,5.819085365853659,0.44067073170731685,0.5750000000000002,0.0,0.5749999999999993,0.5,True
7,ZONE_7,SPRING_B325,SPRING,325.0,3.8448529411764705,3.817294117647059,3.6944999999999997,0.1503529411764708,0.0,0.0,0.4874999999999998,0.5,False
1,ZONE_1,SPRING_B330,SPRING,330.0,6.499792186201164,6.48262676641729,5.539978179551122,0.959814006650042,1.0062500000000005,0.625,1.0999999999999996,0.5,True
2,ZONE_2,SPRING_B330,SPRING,330.0,6.627604166666667,6.627604166666667,5.527604166666666,1.1000000000000005,1.1000000000000005,1.1000000000000014,1.0999999999999996,0.5,True
3,ZONE_3,SPRING_B330,SPRING,330.0,4.15173969072165,4.0387886597938145,3.8696842783505154,0.2820554123711343,0.21250000000000036,0.0,0.40000000000000036,0.5,False
4,ZONE_4,SPRING_B330,SPRING,330.0,1.901503164556962,1.901503164556962,1.443097310126582,0.45840585443037996,0.4374999999999998,0.0,1.1,0.5,True
5,ZONE_5,SPRING_B330,SPRING,330.0,4.448660714285714,4.170535714285714,3.9709821428571423,0.47767857142857206,0.40000000000000036,0.46250000000000036,0.40000000000000036,0.5,False
6,ZONE_6,SPRING_B330,SPRING,330.0,5.857378048780488,5.843658536585366,5.212329268292683,0.6450487804878051,0.6000000000000005,0.25,1.0374999999999996,0.5,True
7,ZONE_7,SPRING_B330,SPRING,330.0,3.7908823529411766,3.691882352941177,3.4657647058823526,0.32511764705882396,0.40000000000000036,0.0,0.5625,0.5,True
1,ZONE_1,SPRING_B335,SPRING,335.0,6.40344451371571,6.223233582709892,5.330434330839568,1.0730101828761427,1.1000000000000005,0.5875000000000004,1.2374999999999998,0.5,True
2,ZONE_2,SPRING_B335,SPRING,335.0,6.397569444444445,6.197569444444444,5.160069444444444,1.2375000000000007,1.2374999999999998,1.2375000000000007,1.2374999999999998,0.5,True
3,ZONE_3,SPRING_B335,SPRING,335.0,4.270940721649485,4.107345360824742,3.8200386597938136,0.45090206185567094,0.5,0.025000000000000355,0.41250000000000053,0.5,True
4,ZONE_4,SPRING_B335,SPRING,335.0,1.6815664556962024,1.5845727848101265,1.2057555379746836,0.47581091772151884,0.2749999999999999,0.0,1.2375000000000003,0.5,True
5,ZONE_5,SPRING_B335,SPRING,335.0,4.589285714285714,4.179464285714286,3.7749999999999995,0.814285714285715,0.9125000000000005,0.9125000000000005,0.6625000000000005,0.5,True
6,ZONE_6,SPRING_B335,SPRING,335.0,5.473719512195122,5.3107804878048785,4.6430487804878044,0.8306707317073174,0.875,0.3875000000000002,1.3624999999999998,0.5,True
7,ZONE_7,SPRING_B335,SPRING,335.0,3.6855882352941176,3.55164705882353,3.243176470588235,0.4424117647058825,0.41250000000000053,0.0,0.8250000000000002,0.5,True
1,ZONE_1,SUMMER_B325,SUMMER,325.0,8.635936201163757,8.124459684123028,7.600181837073983,1.0357543640897742,0.8875000000000002,1.0000000000000018,1.1499999999999968,0.5,True
2,ZONE_2,SUMMER_B325,SUMMER,325.0,6.121527777777778,5.621527777777778,5.353862847222222,0.7676649305555561,0.75,0.75,0.75,0.5,True
3,ZONE_3,SUMMER_B325,SUMMER,325.0,6.207796391752577,5.6880154639175275,4.983891752577318,1.2239046391752595,1.1562500000000018,1.2500000000000018,1.0625000000000018,0.5,True
4,ZONE_4,SUMMER_B325,SUMMER,325.0,5.654865506329114,5.3912183544303796,5.198239715189874,0.4566257911392402,0.6187500000000004,0.0,0.75,0.5,True
5,ZONE_5,SUMMER_B325,SUMMER,325.0,6.1875,5.500000000000003,4.624999999999998,1.5625000000000018,1.5625000000000018,1.6875000000000018,1.4375000000000018,0.5,True
6,ZONE_6,SUMMER_B325,SUMMER,325.0,4.756707317073171,4.176,3.7820609756097556,0.9746463414634152,0.8250000000000011,0.75,1.2750000000000012,0.5,True
7,ZONE_7,SUMMER_B325,SUMMER,325.0,4.555441176470588,4.204588235294119,3.867029411764705,0.6884117647058834,1.0625000000000009,0.0,1.0625000000000018,0.5,True
1,ZONE_1,SUMMER_B330,SUMMER,330.0,8.562370116375728,8.166874480465504,7.444830631753948,1.1175394846217799,1.0875000000000004,1.25,1.2124999999999986,0.5,True
2,ZONE_2,SUMMER_B330,SUMMER,330.0,6.227430555555555,5.977430555555555,5.444487847222223,0.7829427083333327,0.75,0.75,0.8875000000000002,0.5,True
3,ZONE_3,SUMMER_B330,SUMMER,330.0,6.248228092783505,5.668556701030931,4.837081185567008,1.411146907216497,1.450000000000002,1.450000000000002,1.262500000000002,0.5,True
4,ZONE_4,SUMMER_B330,SUMMER,330.0,5.735759493670886,5.580142405063291,5.215486550632911,0.5202729430379751,0.5062500000000014,0.025000000000000355,0.7249999999999943,0.5,True
5,ZONE_5,SUMMER_B330,SUMMER,330.0,6.25,5.462500000000003,4.487499999999998,1.762500000000002,1.700000000000002,1.950000000000002,1.700000000000002,0.5,True
6,ZONE_6,SUMMER_B330,SUMMER,330.0,4.5339634146341465,4.175121951219512,3.555963414634146,0.9780000000000006,0.8875000000000002,0.75,1.3350000000000009,0.5,True
7,ZONE_7,SUMMER_B330,SUMMER,330.0,4.124705882352941,3.873764705882354,3.5212058823529406,0.6035000000000008,0.5250000000000004,0.0,1.25,0.5,True
1,ZONE_1,SUMMER_B335,SUMMER,335.0,8.436331047381547,8.096986699916876,7.602826267664174,0.8335047797173729,0.8812500000000014,1.012500000000002,0.8874999999999993,0.5,True
2,ZONE_2,SUMMER_B335,SUMMER,335.0,6.578993055555555,6.328993055555555,6.299392361111111,0.27960069444444446,0.25,0.25,0.4662499999999987,0.5,False
3,ZONE_3,SUMMER_B335,SUMMER,335.0,6.291720360824742,5.71494845360825,4.9756765463917505,1.3160438144329918,1.3375000000000021,1.3375000000000021,1.262500000000002,0.5,True
4,ZONE_4,SUMMER_B335,SUMMER,335.0,5.916633702531645,5.792563291139241,5.617919303797468,0.2987143987341776,0.2812500000000018,0.0,0.049999999999998934,0.5,False
5,ZONE_5,SUMMER_B335,SUMMER,335.0,6.25,5.587500000000003,4.599999999999999,1.6500000000000012,1.5875000000000021,1.8375000000000021,1.5875000000000021,0.5,True
6,ZONE_6,SUMMER_B335,SUMMER,335.0,4.502378048780487,4.165609756097561,3.9874999999999994,0.514878048780488,0.5,0.27500000000000036,0.785000000000001,0.5,True
7,ZONE_7,SUMMER_B335,SUMMER,335.0,3.829264705882353,3.6297647058823537,3.435088235294117,0.3941764705882358,0.07500000000000018,0.0,1.0050000000000008,0.5,True
