zone_id,zone_name,receiver_count,case_key,season,rear_bearing_true_deg,scenario,metric,mean,median,p10,p90,min,max
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,5.349652777777778,5.3999999999999995,4.6499999999999995,6.15,4.15,6.15
2,ZONE_2,288,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,5.336805555555555,5.25,4.5,6.0,4.0,7.0
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,4.366462628865979,4.5,3.16875,5.5,1.5,6.5
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,4.374355670103093,4.5,3.25,5.75,1.5,6.75
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,4.1952319587628875,4.25,3.12,5.350000000000001,1.5,6.350000000000001
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,4.197164948453608,4.25,3.0,5.5,1.5,6.75
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,3.7754510309278344,3.6999999999999993,2.9499999999999993,4.949999999999999,1.5,5.3999999999999995
3,ZONE_3,388,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,3.774484536082474,3.75,2.75,4.825000000000003,1.5,5.75
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,1.839003164556962,1.5,0.0,4.5,0.0,6.25
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,1.839003164556962,1.5,0.0,4.5,0.0,6.25
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,1.7831487341772152,1.4,0.0,4.4,0.0,6.15
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,1.7832278481012658,1.5,0.0,4.5,0.0,6.25
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,1.3982199367088606,1.2000000000000002,0.0,3.4000000000000004,0.0,5.1499999999999995
4,ZONE_4,632,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,1.3888449367088607,1.25,0.0,3.5,0.0,5.75
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,4.665178571428571,4.75,4.5,4.75,4.5,4.75
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,4.651785714285714,4.75,4.375,5.0,4.0,5.0
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,4.244642857142858,4.25,3.9999999999999996,4.500000000000001,3.9999999999999996,4.500000000000001
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,4.267857142857143,4.25,4.0,4.5,3.75,4.75
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,3.6999999999999993,3.6999999999999993,3.4499999999999993,3.9499999999999993,3.4499999999999993,3.9499999999999993
5,ZONE_5,56,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,3.6875,3.75,3.25,4.0,3.25,4.25
6,ZONE_6,1025,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,5.41079268292683,5.25,3.25,7.375,2.5,7.75
6,ZONE_6,1025,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,5.408048780487805,5.25,3.25,7.5,2.5,7.75
6,ZONE_6,1025,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,5.3092195121951224,5.15,3.25,7.200000000000001,2.5,7.65
6,ZONE_6,1025,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,5.304146341463414,5.25,3.25,7.25,2.25,7.75
6,ZONE_6,1025,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,4.61459756097561,4.5,3.1125,6.125,2.1999999999999997,6.5125
6,ZONE_6,1025,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,4.62,4.5,3.0,6.25,2.0,7.25
7,ZONE_7,425,AUTUMN_B335,AUTUMN,335.0,baseline,expected_open_sky_weighted_hours,3.731176470588235,4.5,0.0,6.25,0.0,6.5
7,ZONE_7,425,AUTUMN_B335,AUTUMN,335.0,baseline,deterministic_dappled_pattern_hours,3.743529411764706,4.5,0.0,6.25,0.0,6.75
7,ZONE_7,425,AUTUMN_B335,AUTUMN,335.0,likely,expected_open_sky_weighted_hours,3.593411764705883,4.25,0.0,6.100000000000001,0.0,6.350000000000001
7,ZONE_7,425,AUTUMN_B335,AUTUMN,335.0,likely,deterministic_dappled_pattern_hours,3.597058823529412,4.25,0.0,6.0,0.0,6.75
7,ZONE_7,425,AUTUMN_B335,AUTUMN,335.0,conservative,expected_open_sky_weighted_hours,3.1768235294117644,3.6999999999999993,0.0,5.2875,0.0,5.3999999999999995
7,ZONE_7,425,AUTUMN_B335,AUTUMN,335.0,conservative,deterministic_dappled_pattern_hours,3.164705882352941,3.75,0.0,5.25,0.0,6.0
1,ZONE_1,2406,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,2.853361388196176,3.0625,0.09375,4.8125,0.0,5.5
1,ZONE_1,2406,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,2.8415419783873648,3.0,0.0,5.0,0.0,6.25
1,ZONE_1,2406,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,2.181899418121363,2.3999999999999995,0.075,3.774999999999999,0.0,4.399999999999999
1,ZONE_1,2406,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,2.1810058187863675,2.25,0.0,4.0,0.0,5.5
1,ZONE_1,2406,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,1.5986180382377393,1.6875000000000004,0.0,2.8875,0.0,3.25
1,ZONE_1,2406,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,1.6051537822111388,1.5,0.0,3.0,0.0,5.0
2,ZONE_2,288,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,4.945529513888889,4.9375,4.625,5.1875,4.625,5.4375
2,ZONE_2,288,WINTER_B325,WINTER,325.0,baseline,deterministic_dappled_pattern_hours,4.915798611111111,5.0,4.25,5.5,3.5,6.25
2,ZONE_2,288,WINTER_B325,WINTER,325.0,likely,expected_open_sky_weighted_hours,3.7868055555555546,3.799999999999999,3.449999999999999,4.049999999999999,3.449999999999999,4.299999999999999
2,ZONE_2,288,WINTER_B325,WINTER,325.0,likely,deterministic_dappled_pattern_hours,3.775173611111111,3.75,3.0,4.5,1.75,5.5
2,ZONE_2,288,WINTER_B325,WINTER,325.0,conservative,expected_open_sky_weighted_hours,2.5394097222222225,2.6375,2.1375,2.8875,2.1375,3.1375
2,ZONE_2,288,WINTER_B325,WINTER,325.0,conservative,deterministic_dappled_pattern_hours,2.546875,2.5,1.75,3.25,1.0,4.25
3,ZONE_3,388,WINTER_B325,WINTER,325.0,baseline,expected_open_sky_weighted_hours,1.2264819587628866,1.375,0.0,2.5625,0.0,3.4375
